manhwa_name,manhwa_synonym,manhwa_japanese,manhwa_english,manhwa_type,manhwa_volume,manhwa_chapters,manhwa_status,manhwa_published,manhwa_genre,manhwa_theme,manhwa_demographic,manhwa_serialization,manhwa_author,manhwa_score,manhwa_ranked,manhwa_popularity,manhwa_members,manhwa_favorites
The Crown Princess Scandal,Concubine Scandal,후궁 스캔들,The Crown Princess Scandal,Manhwa,Unknown,89,Finished,"Oct  29, 2021 to Dec  16, 2023","FantasyFantasy,RomanceRomance",,,Naver Webtoon,"Jeonghyeon(Story),Kitrow(Art)",8.111(scored by965965 users)1indicates aweighted score.,#60522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8998,"2,447",51
Muse on Fame,Muse on Yumyeong,뮤즈 온 유명,Muse on Fame,Manhwa,Unknown,96,Finished,"Oct  19, 2022 to Aug  7, 2024",DramaDrama,"Adult CastAdult Cast,ShowbizShowbiz",,Naver Webtoon,Sujin(Story & Art),"8.101(scored by12161,216 users)1indicates aweighted score.",#60722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#6948,"3,357",82
Let Dai,,Let 다이,Let Dai,Manhwa,15,75,Finished,1995 to  2005,"Boys LoveBoys Love,DramaDrama","DelinquentsDelinquents,PsychologicalPsychological,SchoolSchool",,Wink,"Won, Soo-yeon(Story & Art)","8.101(scored by27912,791 users)1indicates aweighted score.",#61622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2237,"10,681",386
Winter Woods,,윈터우즈,Winter Woods,Manhwa,7,55,Finished,"Jul  13, 2014 to Jan  29, 2017","FantasyFantasy,HorrorHorror,MysteryMystery,RomanceRomance",,,Naver Webtoon,"Cosmos(Story),VAN.J(Art)","8.101(scored by37843,784 users)1indicates aweighted score.",#62122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2210,"10,841",247
Witch of Mine,"My Witch, Naui Manyeo, This Witch of Mine",나의 마녀,Witch of Mine,Manhwa,4,Unknown,Finished,"Aug  25, 2015 to Feb  3, 2018","DramaDrama,FantasyFantasy,RomanceRomance",,,None,"Heyoon(Story),MAS(Art)","8.101(scored by25982,598 users)1indicates aweighted score.",#62222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2877,"8,555",232
Mystical,"Mystery, Sinbi",신비,Mystical,Manhwa,5,93,Finished,"Feb  19, 2020 to Mar  24, 2022","DramaDrama,RomanceRomance,SupernaturalSupernatural",,,Naver Webtoon,VAN.J(Story & Art),"8.101(scored by12921,292 users)1indicates aweighted score.",#62322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5554,"4,325",74
Noblesse,,노블레스,Noblesse,Manhwa,Unknown,544,Finished,"Dec  30, 2007 to Jan  7, 2019","ActionAction,AdventureAdventure,ComedyComedy,SupernaturalSupernatural",SchoolSchool,,Naver Webtoon,"Son, Jae-Ho(Story),Lee, Gwang-Su(Art)","8.091(scored by4518945,189 users)1indicates aweighted score.",#62822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#135,"114,135","4,904"
Surviving Romance,Saranameun Romance,살아남은 로맨스,Surviving Romance,Manhwa,7,101,Finished,"Jan  14, 2021 to Jun  10, 2023","HorrorHorror,SuspenseSuspense","SchoolSchool,SurvivalSurvival",,Naver Webtoon,"Lee, Yeon(Story & Art)","8.091(scored by37903,790 users)1indicates aweighted score.",#63022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2306,"10,341",240
Cheese in the Trap Season 2,,치즈인더트랩 시즌2,Cheese in the Trap Season 2,Manhwa,9,38,Finished,"Jun  15, 2011 to Oct  17, 2012","ComedyComedy,MysteryMystery,RomanceRomance,Slice of LifeSlice of Life",SchoolSchool,,Naver Webtoon,Soonkki(Story & Art),"8.091(scored by58195,819 users)1indicates aweighted score.",#64022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2019,"11,911",74
Secret Lady,,시크릿 레이디,Secret Lady,Manhwa,Unknown,Unknown,Publishing,"May  4, 2021 to ?","FantasyFantasy,RomanceRomance",,,KakaoPage,"Banana(Art),Anngato(Story)","8.061(scored by20772,077 users)1indicates aweighted score.",#68222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2856,"8,631",133
Merry Marbling,,메리 마블링,Merry Marbling,Manhwa,Unknown,Unknown,Publishing,"Aug  10, 2022 to ?",Boys LoveBoys Love,SchoolSchool,,KakaoPage,Pengki(Story & Art),8.061(scored by491491 users)1indicates aweighted score.,#68422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12435,"1,626",65
The Regressed Mercenary Has a Plan,"The Regressed Mercenary's Machinations, Every Returned Mercenary Has a Plan, Hoegwihan Yongbyeong-eun Da Gyehoeg-i Itda",회귀한 용병은 다 계획이 있다,The Regressed Mercenary Has a Plan,Manhwa,Unknown,Unknown,Publishing,"Sep  23, 2024 to ?","ActionAction,FantasyFantasy",Time TravelTime Travel,,Naver Webtoon,"Park, Jinseok(Art),Gold Haeng(Story)","8.051(scored by36953,695 users)1indicates aweighted score.",#68722based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1767,"13,555",88
The Broken Ring: This Marriage Will Fail Anyway,This Marriage Is Bound to Sink Anyway,이 결혼은 어차피 망하게 되어있다,The Broken Ring: This Marriage Will Fail Anyway,Manhwa,Unknown,Unknown,Publishing,"Nov  2, 2022 to ?","DramaDrama,FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Kim, Chacha(Story),Cheong-gwa(Art)","8.051(scored by27982,798 users)1indicates aweighted score.",#68622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2274,"10,501",181
Revenge of the Baskerville Bloodhound,"Revenge of the Iron-Blooded Sword Hound, Revenge of the Sword Clan's Hound, Cheolhyeol Geomga Sanyanggae-ui Hoegwi",철혈검가 사냥개의 회귀,Revenge of the Baskerville Bloodhound,Manhwa,Unknown,Unknown,Publishing,"Apr  14, 2023 to ?","ActionAction,FantasyFantasy",Time TravelTime Travel,,KakaoPage,"Lego Babasseo(Story),Seol, Arang(Art)","8.041(scored by1211912,119 users)1indicates aweighted score.",#71522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#547,"36,425",523
About Death,Regarding Death,죽음에 관하여,About Death,Manhwa,2,27,Finished,"Sep  5, 2012 to Feb  20, 2013","Slice of LifeSlice of Life,SupernaturalSupernatural",PsychologicalPsychological,,Naver Webtoon,"Sini(Story),Hyeono(Art)","8.041(scored by63126,312 users)1indicates aweighted score.",#71322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1435,"15,963",459
Kubera,One Last God Kubera,쿠베라,,Manhwa,Unknown,Unknown,Publishing,"Feb  7, 2010 to ?","ActionAction,AdventureAdventure,ComedyComedy,FantasyFantasy,RomanceRomance",,,Naver Webtoon,Currygom(Story & Art),"8.031(scored by40544,054 users)1indicates aweighted score.",#73422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1455,"15,818",525
Mother's Contract Marriage,"My Mother Gets Married Again, My Mother Got Married by Contract, My Mom Entered a Contract Marriage",엄마가 계약결혼 했다,Mother's Contract Marriage,Manhwa,Unknown,Unknown,Publishing,"Dec  23, 2022 to ?",FantasyFantasy,Time TravelTime Travel,,KakaoPage,"Choo, Hae-Yun(Art),Siya(Story)","8.031(scored by17671,767 users)1indicates aweighted score.",#74122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3587,"6,882",86
Seasons of Lovesome,"Youth Lovesome, Cheongchun Lovesome",청춘 러브썸,Seasons of Lovesome,Manhwa,Unknown,Unknown,Publishing,"Aug  12, 2024 to ?",RomanceRomance,,,Naver Webtoon,"Hongduck(Story),NEMONE(Art)",8.021(scored by677677 users)1indicates aweighted score.,#75422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#8495,"2,631",30
The Dawn to Come,Just Twilight,그저 여명일 뿐,The Dawn to Come,Manhwa,5,69,Finished,"Aug  21, 2023 to May  11, 2025",RomanceRomance,,,None,"Woo, Jihye(Story),Kangki(Art)",8.021(scored by818818 users)1indicates aweighted score.,#75522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#12439,"1,625",42
The Male Lead's Little Lion Daughter,"I Became the Male Lead's Adopted Daughter, Namju-ui Ibyangttal-i Doeeotseumnida",남주의 입양딸이 되었습니다,The Male Lead's Little Lion Daughter,Manhwa,Unknown,Unknown,Publishing,"Aug  14, 2021 to ?","DramaDrama,FantasyFantasy","IsekaiIsekai,ReincarnationReincarnation",,KakaoPage,"Latine(Story),Ttona(Art)","8.021(scored by40354,035 users)1indicates aweighted score.",#75822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1784,"13,445",210
The Top Dungeon Farmer,"Solo Farming in the Tower, Na Honja Tab-eseo Nongsa",나 혼자 탑에서 농사,The Top Dungeon Farmer,Manhwa,Unknown,Unknown,Publishing,"Apr  20, 2023 to ?",FantasyFantasy,,,Naver Webtoon,"sdcknight(Story),Lee, Hakyung(Art)","8.011(scored by31143,114 users)1indicates aweighted score.",#78522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2202,"10,877",138
Positively Yours,Agi-ga Saenggyeosseoyo,아기가 생겼어요,Positively Yours,Manhwa,8,82,Finished,"Jun  8, 2020 to Mar  14, 2022",RomanceRomance,Adult CastAdult Cast,,Naver Series,"Lee, Jung(Story),Kangki(Art)","8.001(scored by65406,540 users)1indicates aweighted score.",#78622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1796,"13,337",213
King's Maker: Triple Crown,,킹스메이커 트리플 크라운,King's Maker: Triple Crown,Manhwa,10,Unknown,Finished,"May  31, 2019 to Nov  20, 2023","Boys LoveBoys Love,DramaDrama,FantasyFantasy",,,KakaoPage,"Haga(Story & Art),Kang, Ji-young(Story & Art)","7.991(scored by12191,219 users)1indicates aweighted score.",#80822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5358,"4,495",59
Log-in Murim,"Murim Login, Login Murim",로그인 무림,Log-in Murim,Manhwa,Unknown,Unknown,Publishing,"May  1, 2020 to ?","ActionAction,AdventureAdventure,FantasyFantasy",Martial ArtsMartial Arts,,KakaoPage,"Zero-BIG(Story),Jang, Cheolbyeok(Art)","7.991(scored by60096,009 users)1indicates aweighted score.",#81122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1168,"18,874",194
Id,Id - The Greatest Fusion Fantasy,이드,,Manhwa,29,178,On Hiatus,2002 to  2013,"ActionAction,AdventureAdventure,FantasyFantasy",,,None,"Kim, Daewoo(Story),A. T. Kenny(Art)","7.981(scored by45014,501 users)1indicates aweighted score.",#83522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1748,"13,661",316
The Superhuman Era,"The Era of Overman, Choin-ui Sidae",초인의 시대,The Superhuman Era,Manhwa,Unknown,Unknown,Publishing,"Jul  12, 2019 to ?",ActionAction,Super PowerSuper Power,,Naver Webtoon,Seop-I(Story & Art),"7.981(scored by19461,946 users)1indicates aweighted score.",#83122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3184,"7,792",69
Tyrant of the Tower Defense Game,"I Became the Tyrant of a Defense Game, Becoming the Tyrant of a Defense Game, Defense Game-ui Pokgun-i Doeeotda",디펜스 게임의 폭군이 되었다,Tyrant of the Tower Defense Game,Manhwa,Unknown,Unknown,Publishing,"Aug  5, 2022 to ?","ActionAction,FantasyFantasy","IsekaiIsekai,MilitaryMilitary,ReincarnationReincarnation,Video GameVideo Game",,Naver Webtoon,"Ryueun, Garam(Story),Gyong(Art)","7.981(scored by40614,061 users)1indicates aweighted score.",#83222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1755,"13,630",155
Maybe Meant to Be,"Eojjeoda Boni Cheonsaeng Yeonbun, Match Made in Heaven By Chance",어쩌다보니 천생연분,Maybe Meant to Be,Manhwa,Unknown,132,Finished,"Feb  10, 2022 to Oct  9, 2025","ComedyComedy,RomanceRomance",Adult CastAdult Cast,,Naver Webtoon,"Kkultarae(Story),Damcho(Art)","7.971(scored by93489,348 users)1indicates aweighted score.",#85922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#781,"26,956",382
Surviving the Game as a Barbarian,Game Sok Barbarian-euro Saranamgi,게임 속 바바리안으로 살아남기,Surviving the Game as a Barbarian,Manhwa,Unknown,Unknown,Publishing,"Apr  19, 2023 to ?","ActionAction,FantasyFantasy","IsekaiIsekai,ReincarnationReincarnation,Video GameVideo Game",,Naver Webtoon,"Jeong, Yungang(Story),Nep(Art)","7.971(scored by52925,292 users)1indicates aweighted score.",#86122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1341,"16,733",194
Our Youth,"Minority, Miseongnyeon",미성년,Our Youth,Manhwa,Unknown,70,Finished,"Aug  29, 2020 to Apr  25, 2022","Boys LoveBoys Love,DramaDrama",SchoolSchool,,Lezhin Comics Webtoon,Hinoon(Story & Art),7.971(scored by539539 users)1indicates aweighted score.,#86222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#15017,"1,255",30
Odd Girl Out,"Sonyeo-ui Segye, Girl's World",소녀의 세계,Odd Girl Out,Manhwa,Unknown,Unknown,Publishing,"May  17, 2015 to ?","ComedyComedy,Slice of LifeSlice of Life",SchoolSchool,,Naver Webtoon,Morangji(Story & Art),"7.971(scored by23722,372 users)1indicates aweighted score.",#85422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3492,"7,102",215
Fools,,FOOLS,Fools,Manhwa,4,74,Finished,"Jun  6, 2016 to Oct  5, 2017","Boys LoveBoys Love,Slice of LifeSlice of Life",SchoolSchool,,Comica,"Yeong-ha(Story),Bakdam(Art)","7.971(scored by24232,423 users)1indicates aweighted score.",#85622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#3416,"7,241",123
Ctrl+Alt+Resign,"Job Log, Job Switch Log, Ctrl Alt Resign",이직로그,Ctrl+Alt+Resign,Manhwa,Unknown,Unknown,Publishing,"Mar  23, 2025 to ?",RomanceRomance,"Adult CastAdult Cast,WorkplaceWorkplace",,Naver Webtoon,"Woo, Si-mok(Story),Lee, Ha-an(Art)","7.971(scored by11401,140 users)1indicates aweighted score.",#86622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#5732,"4,174",48
Pigpen,Dwaejiuri,돼지우리,Pigpen,Manhwa,Unknown,68,Finished,"Mar  2, 2019 to Jun  13, 2020","HorrorHorror,SuspenseSuspense","PsychologicalPsychological,SurvivalSurvival",,Naver Webtoon,"Kim, Carnby(Story),Cheon, Beom Sick(Art)","7.961(scored by64336,433 users)1indicates aweighted score.",#88822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1649,"14,265",287
Marriage of Convenience,"The Marriage Business, The Wedding Business, Gyeolhon Jangsa",결혼 장사,Marriage of Convenience,Manhwa,Unknown,141,Finished,"Apr  11, 2022 to Sep  17, 2024","FantasyFantasy,RomanceRomance",Time TravelTime Travel,,KakaoPage,"Ant Studio(Art),Ken(Story)","7.961(scored by51285,128 users)1indicates aweighted score.",#88922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1757,"13,620",183
"Like Mother, Like Daughter","Look-Alike Daughter, Ttok Dalmeun Ttal",똑 닮은 딸,"Like Mother, Like Daughter",Manhwa,Unknown,Unknown,Publishing,"Aug  27, 2021 to ?",SuspenseSuspense,"PsychologicalPsychological,SchoolSchool",,Naver Webtoon,Yidahm(Story & Art),7.961(scored by515515 users)1indicates aweighted score.,#89022based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9544,"2,267",65
Lookism,,외모지상주의,Lookism,Manhwa,Unknown,Unknown,Publishing,"Nov  20, 2014 to ?","ActionAction,ComedyComedy,DramaDrama,SupernaturalSupernatural",SchoolSchool,,Naver Webtoon,"Park, Tae-Jun(Story & Art)","7.961(scored by2980029,800 users)1indicates aweighted score.",#88122based on thetop mangapage. Please note that 'R18+' titles are excluded.,#240,"72,969","2,967"
My In-Laws Are Obsessed with Me,Si-World-ga Naege Jipchak Handa,시월드가 내게 집착한다,My In-Laws Are Obsessed with Me,Manhwa,Unknown,Unknown,Publishing,"Nov  25, 2021 to ?","FantasyFantasy,RomanceRomance",Time TravelTime Travel,,Naver Webtoon,"Han, Yoonseol(Story),Seungu(Art)","7.951(scored by34733,473 users)1indicates aweighted score.",#89522based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2020,"11,903",193
The Perks of Being a Villainess,"Isn't Being a Wicked Woman Much Better?, It's Nice and Comfortable Because You're Villainess?, What's Wrong With Being the Villainess?",악녀라서 편하고 좋은데요?,The Perks of Being a Villainess,Manhwa,Unknown,Unknown,Publishing,"Nov  30, 2022 to ?","FantasyFantasy,RomanceRomance",VillainessVillainess,,KakaoPage,"Mang, Gokim(Story),Yoteh(Art)","7.951(scored by32173,217 users)1indicates aweighted score.",#89622based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2060,"11,673",145
Dr. Frost,,닥터 프로스트,Dr. Frost,Manhwa,Unknown,258,Finished,"Feb  2, 2011 to Sep  2, 2021",DramaDrama,"MedicalMedical,PsychologicalPsychological",,Naver Webtoon,"Lee, Jong-bum(Story & Art)","7.951(scored by44434,443 users)1indicates aweighted score.",#91922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#1687,"13,999",244
Selfish Romance,Selfish Love Theory,이기적 연애론,Selfish Romance,Manhwa,Unknown,Unknown,Publishing,"May  21, 2024 to ?","DramaDrama,RomanceRomance","Adult CastAdult Cast,Love PolygonLove Polygon",,Naver Webtoon,Gyogyo Park(Story & Art),7.951(scored by800800 users)1indicates aweighted score.,#90822based on thetop mangapage. Please note that 'R18+' titles are excluded.,#7473,"3,079",73
Absolute Regression,Jeoldae Hoegwi,절대회귀,Absolute Regression,Manhwa,Unknown,Unknown,Publishing,"Jul  29, 2024 to ?","ActionAction,FantasyFantasy","Martial ArtsMartial Arts,Time TravelTime Travel",,Naver Webtoon,"Park, Jin-Hwan(Art),Jang, Yeonghun(Story)","7.951(scored by25392,539 users)1indicates aweighted score.",#90922based on thetop mangapage. Please note that 'R18+' titles are excluded.,#2471,"9,755",41
Yumi's Cells,,유미의 세포들,Yumi's Cells,Manhwa,13,527,Finished,"Apr  1, 2015 to Nov  13, 2020","ComedyComedy,DramaDrama,RomanceRomance,Slice of LifeSlice of Life",,,Naver Webtoon,"Lee, Dong-Gun(Story & Art)","7.951(scored by23172,317 users)1indicates aweighted score.",#91222based on thetop mangapage. Please note that 'R18+' titles are excluded.,#4055,"6,104",149
Weak Hero,Yakhan Yeong-ung,약한영웅,Weak Hero,Manhwa,19,267,Finished,"May  5, 2018 to Oct  14, 2023","ActionAction,DramaDrama",SchoolSchool,,Naver Webtoon,"RAZEN(Art),Seopass(Story)","7.951(scored by1220912,209 users)1indicates aweighted score.",#91322based on thetop mangapage. Please note that 'R18+' titles are excluded.,#691,"30,100",686
Grass,Pul,풀,Grass,Manhwa,1,17,Finished,"Aug  14, 2017",DramaDrama,HistoricalHistorical,,None,"Kim, Keum-suk(Story & Art)",7.951(scored by530530 users)1indicates aweighted score.,#91422based on thetop mangapage. Please note that 'R18+' titles are excluded.,#9485,"2,283",26
